open_time,pair,base,quote,binance_open,binance_high,binance_low,binance_close,binance_volume,coinbase_open,coinbase_high,coinbase_low,coinbase_close,coinbase_volume,best_exchange,profit,profit_percentage
2025-08-08 00:00:00,ADA-EUR,ADA,EUR,0.67460000,0.67490000,0.67310000,0.67320000,1340.40000000,0.6751,0.6751,0.6751,0.6751,0.0,coinbase,0.00190000,0.28
2025-08-08 00:01:00,ADA-EUR,ADA,EUR,0.67450000,0.67560000,0.67450000,0.67550000,675.30000000,0.6751,0.676,0.6751,0.676,138.63,coinbase,0.00050000,0.07
2025-08-08 00:02:00,ADA-EUR,ADA,EUR,0.67560000,0.67610000,0.67470000,0.67550000,1263.10000000,0.676,0.6765,0.6749,0.6765,2689.64,coinbase,0.00100000,0.15
2025-08-08 00:03:00,ADA-EUR,ADA,EUR,0.67590000,0.67710000,0.67590000,0.67710000,380.50000000,0.6767,0.6776,0.6767,0.6776,199.92,coinbase,0.00050000,0.07
2025-08-08 00:04:00,ADA-EUR,ADA,EUR,0.67720000,0.67780000,0.67290000,0.67340000,3711.10000000,0.6777,0.6777,0.6731,0.6731,6811.23,binance,0.00030000,0.04
2025-08-08 00:05:00,ADA-EUR,ADA,EUR,0.67390000,0.67500000,0.67070000,0.67460000,3987.30000000,0.6719,0.6752,0.6713,0.6752,2043.07,coinbase,0.00060000,0.09
2025-08-08 00:06:00,ADA-EUR,ADA,EUR,0.67470000,0.67540000,0.67310000,0.67310000,5078.20000000,0.6745,0.6749,0.674,0.674,1606.23,coinbase,0.00090000,0.13
2025-08-08 00:07:00,ADA-EUR,ADA,EUR,0.67300000,0.67420000,0.67300000,0.67420000,171.80000000,0.6737,0.6743,0.6729,0.6729,5941.52,binance,0.00130000,0.19
2025-08-08 00:08:00,ADA-EUR,ADA,EUR,0.67420000,0.67420000,0.67240000,0.67280000,1992.10000000,0.6726,0.6726,0.672,0.672,1557.62,binance,0.00080000,0.12
2025-08-08 00:09:00,ADA-EUR,ADA,EUR,0.67180000,0.67230000,0.67160000,0.67160000,253.60000000,0.672,0.672,0.672,0.672,0.0,coinbase,0.00040000,0.06
2025-08-08 00:10:00,ADA-EUR,ADA,EUR,0.67220000,0.67270000,0.67220000,0.67270000,78.60000000,0.672,0.672,0.672,0.672,0.0,binance,0.00070000,0.10
