open_time,pair,base,quote,binance_open,binance_high,binance_low,binance_close,binance_volume,coinbase_open,coinbase_high,coinbase_low,coinbase_close,coinbase_volume,best_exchange,profit,profit_percentage
2025-08-08 00:00:00,ADA-USDT,ADA,USDT,0.78740000,0.78820000,0.78570000,0.78630000,605924.20000000,0.7878,0.788,0.786,0.7879,6308.11,coinbase,0.00160000,0.20
2025-08-08 00:01:00,ADA-USDT,ADA,USDT,0.78630000,0.78900000,0.78630000,0.78870000,129347.80000000,0.7879,0.7879,0.7879,0.7879,0.0,binance,0.00080000,0.10
2025-08-08 00:02:00,ADA-USDT,ADA,USDT,0.78870000,0.78960000,0.78750000,0.78810000,587503.70000000,0.7892,0.7892,0.7881,0.7885,1833.24,coinbase,0.00040000,0.05
2025-08-08 00:03:00,ADA-USDT,ADA,USDT,0.78820000,0.79050000,0.78820000,0.79030000,546979.10000000,0.7885,0.7914,0.7885,0.7914,3609.67,coinbase,0.00110000,0.14
2025-08-08 00:04:00,ADA-USDT,ADA,USDT,0.79040000,0.79140000,0.78510000,0.78630000,426564.10000000,0.7911,0.7911,0.7854,0.7854,3735.67,binance,0.00090000,0.11
2025-08-08 00:05:00,ADA-USDT,ADA,USDT,0.78640000,0.78820000,0.78300000,0.78760000,572015.10000000,0.7834,0.7879,0.783,0.7873,1830.85,binance,0.00030000,0.04
2025-08-08 00:06:00,ADA-USDT,ADA,USDT,0.78770000,0.78860000,0.78560000,0.78560000,339694.80000000,0.7869,0.7869,0.7866,0.7866,2576.9,coinbase,0.00100000,0.13
2025-08-08 00:07:00,ADA-USDT,ADA,USDT,0.78570000,0.78720000,0.78520000,0.78690000,143739.70000000,0.7864,0.787,0.7862,0.7869,12322.47,no_arbitrage,0,0.00
2025-08-08 00:08:00,ADA-USDT,ADA,USDT,0.78690000,0.78700000,0.78490000,0.78500000,95254.40000000,0.7864,0.7864,0.7847,0.7847,10036.73,binance,0.00030000,0.04
2025-08-08 00:09:00,ADA-USDT,ADA,USDT,0.78490000,0.78500000,0.78390000,0.78430000,90362.10000000,0.7847,0.7847,0.7847,0.7847,0.0,coinbase,0.00040000,0.05
2025-08-08 00:10:00,ADA-USDT,ADA,USDT,0.78430000,0.78550000,0.78430000,0.78510000,59411.30000000,0.7847,0.7847,0.7847,0.7847,0.0,binance,0.00040000,0.05
2025-08-08 00:11:00,ADA-USDT,ADA,USDT,0.78500000,0.78790000,0.78450000,0.78780000,148887.70000000,0.7847,0.7847,0.7847,0.7847,0.0,binance,0.00310000,0.40
2025-08-08 00:12:00,ADA-USDT,ADA,USDT,0.78790000,0.79110000,0.78690000,0.79110000,278062.40000000,0.7874,0.7928,0.7874,0.7928,4096.21,coinbase,0.00170000,0.21
2025-08-08 00:13:00,ADA-USDT,ADA,USDT,0.79100000,0.79440000,0.79080000,0.79310000,671811.70000000,0.794,0.794,0.793,0.7931,7661.41,no_arbitrage,0,0.00
2025-08-08 00:14:00,ADA-USDT,ADA,USDT,0.79310000,0.79400000,0.79220000,0.79250000,319206.50000000,0.7939,0.7939,0.7906,0.7906,8469.01,binance,0.00190000,0.24
2025-08-08 00:15:00,ADA-USDT,ADA,USDT,0.79240000,0.79240000,0.78970000,0.79110000,254728.20000000,0.7906,0.7906,0.7906,0.7906,0.0,binance,0.00050000,0.06
2025-08-08 00:16:00,ADA-USDT,ADA,USDT,0.79100000,0.79150000,0.78890000,0.78960000,115893.00000000,0.7904,0.7905,0.788,0.788,7288.72,binance,0.00160000,0.20
2025-08-08 00:17:00,ADA-USDT,ADA,USDT,0.78960000,0.79090000,0.78900000,0.78950000,323992.90000000,0.788,0.788,0.788,0.788,0.0,binance,0.00150000,0.19
2025-08-08 00:18:00,ADA-USDT,ADA,USDT,0.78950000,0.78950000,0.78610000,0.78670000,237462.10000000,0.7871,0.7871,0.7854,0.7854,171.15,binance,0.00130000,0.17
2025-08-08 00:19:00,ADA-USDT,ADA,USDT,0.78680000,0.78700000,0.78010000,0.78020000,1045514.70000000,0.7835,0.7835,0.7806,0.7806,24684.48,coinbase,0.00040000,0.05
2025-08-08 00:20:00,ADA-USDT,ADA,USDT,0.78020000,0.78220000,0.77800000,0.78070000,1154004.90000000,0.7807,0.7821,0.7781,0.781,14327.85,coinbase,0.00030000,0.04
2025-08-08 00:21:00,ADA-USDT,ADA,USDT,0.78060000,0.78470000,0.78050000,0.78400000,716080.80000000,0.7809,0.7831,0.7809,0.7831,7100.27,binance,0.00090000,0.11
2025-08-08 00:22:00,ADA-USDT,ADA,USDT,0.78400000,0.78520000,0.78190000,0.78370000,300870.50000000,0.7831,0.7831,0.7831,0.7831,0.0,binance,0.00060000,0.08
2025-08-08 00:23:00,ADA-USDT,ADA,USDT,0.78370000,0.79100000,0.78310000,0.78390000,484032.50000000,0.7871,0.7908,0.7846,0.7846,2945.51,coinbase,0.00070000,0.09
2025-08-08 00:24:00,ADA-USDT,ADA,USDT,0.78390000,0.78580000,0.78200000,0.78570000,480480.80000000,0.7826,0.7856,0.7826,0.7856,11859.86,binance,0.00010000,0.01
2025-08-08 00:25:00,ADA-USDT,ADA,USDT,0.78580000,0.78960000,0.78560000,0.78630000,562786.20000000,0.7866,0.7883,0.7862,0.7869,12859.79,coinbase,0.00060000,0.08
2025-08-08 00:26:00,ADA-USDT,ADA,USDT,0.78630000,0.79170000,0.78610000,0.79150000,787568.20000000,0.7866,0.7916,0.7866,0.7916,6694.43,coinbase,0.00010000,0.01
2025-08-08 00:27:00,ADA-USDT,ADA,USDT,0.79140000,0.79140000,0.78290000,0.78610000,693344.90000000,0.7912,0.7912,0.784,0.7868,3371.85,coinbase,0.00070000,0.09
2025-08-08 00:28:00,ADA-USDT,ADA,USDT,0.78610000,0.78720000,0.78520000,0.78580000,241407.50000000,0.7868,0.7868,0.7868,0.7868,0.0,coinbase,0.00100000,0.13
2025-08-08 00:29:00,ADA-USDT,ADA,USDT,0.78580000,0.78690000,0.78510000,0.78600000,106842.90000000,0.7857,0.7857,0.7857,0.7857,711.4,binance,0.00030000,0.04
2025-08-08 00:30:00,ADA-USDT,ADA,USDT,0.78600000,0.78610000,0.78350000,0.78510000,260865.50000000,0.7856,0.7857,0.7856,0.7857,432.69,coinbase,0.00060000,0.08
2025-08-08 00:31:00,ADA-USDT,ADA,USDT,0.78520000,0.78580000,0.78340000,0.78350000,231913.50000000,0.7857,0.7857,0.7857,0.7857,0.0,coinbase,0.00220000,0.28
2025-08-08 00:32:00,ADA-USDT,ADA,USDT,0.78360000,0.78450000,0.78280000,0.78390000,426574.00000000,0.7857,0.7857,0.7857,0.7857,0.0,coinbase,0.00180000,0.23
2025-08-08 00:33:00,ADA-USDT,ADA,USDT,0.78380000,0.78580000,0.78330000,0.78550000,113055.80000000,0.7857,0.7857,0.7857,0.7857,0.0,coinbase,0.00020000,0.03
2025-08-08 00:34:00,ADA-USDT,ADA,USDT,0.78550000,0.78550000,0.78420000,0.78460000,79071.10000000,0.7857,0.7857,0.7857,0.7857,0.0,coinbase,0.00110000,0.14
2025-08-08 00:35:00,ADA-USDT,ADA,USDT,0.78450000,0.78600000,0.78430000,0.78450000,48669.30000000,0.7848,0.7848,0.7844,0.7844,1613.27,binance,0.00010000,0.01
2025-08-08 00:36:00,ADA-USDT,ADA,USDT,0.78450000,0.79000000,0.78340000,0.78980000,203278.50000000,0.7861,0.7919,0.7861,0.7919,3685.56,coinbase,0.00210000,0.27
2025-08-08 00:37:00,ADA-USDT,ADA,USDT,0.78970000,0.79590000,0.78890000,0.79560000,1443702.30000000,0.7939,0.7958,0.7935,0.7958,1927.08,coinbase,0.00020000,0.03
2025-08-08 00:38:00,ADA-USDT,ADA,USDT,0.79550000,0.80100000,0.79500000,0.80080000,1974596.60000000,0.7962,0.8009,0.7962,0.8009,2179.85,coinbase,0.00010000,0.01
2025-08-08 00:39:00,ADA-USDT,ADA,USDT,0.80070000,0.80120000,0.79490000,0.79490000,1388060.10000000,0.8006,0.8006,0.7954,0.7954,4764.87,coinbase,0.00050000,0.06
