open_time,pair,base,quote,binance_open,binance_high,binance_low,binance_close,binance_volume,coinbase_open,coinbase_high,coinbase_low,coinbase_close,coinbase_volume,best_exchange,profit,profit_percentage
2025-08-08 00:00:00,DOGE-EUR,DOGE,EUR,0.19050000,0.19050000,0.18982000,0.18983000,5925.00000000,0.1901,0.1901,0.19,0.19,34604.2,coinbase,0.00017000,0.09
2025-08-08 00:01:00,DOGE-EUR,DOGE,EUR,0.18998000,0.19007000,0.18998000,0.19000000,4855.00000000,0.19,0.19,0.19,0.19,183768.2,no_arbitrage,0,0.00
2025-08-08 00:02:00,DOGE-EUR,DOGE,EUR,0.19011000,0.19011000,0.19011000,0.19011000,1483.00000000,0.19,0.19,0.19,0.19,0.0,binance,0.00011000,0.06
2025-08-08 00:03:00,DOGE-EUR,DOGE,EUR,0.19029000,0.19029000,0.19022000,0.19022000,283.00000000,0.19,0.19,0.19,0.19,0.0,binance,0.00022000,0.12
2025-08-08 00:04:00,DOGE-EUR,DOGE,EUR,0.19030000,0.19034000,0.18984000,0.18986000,3666.00000000,0.1899,0.1899,0.1898,0.1898,9251.1,binance,0.00006000,0.03
2025-08-08 00:05:00,DOGE-EUR,DOGE,EUR,0.18965000,0.18999000,0.18925000,0.18999000,12155.00000000,0.1897,0.1901,0.1892,0.1901,22069.0,coinbase,0.00011000,0.06
2025-08-08 00:06:00,DOGE-EUR,DOGE,EUR,0.19000000,0.19017000,0.18989000,0.18989000,7672.00000000,0.1901,0.1901,0.1901,0.1901,0.0,coinbase,0.00021000,0.11
2025-08-08 00:07:00,DOGE-EUR,DOGE,EUR,0.18998000,0.18998000,0.18997000,0.18997000,509.00000000,0.1901,0.1901,0.1901,0.1901,0.0,coinbase,0.00013000,0.07
2025-08-08 00:08:00,DOGE-EUR,DOGE,EUR,0.19003000,0.19003000,0.18972000,0.18977000,6912.00000000,0.1898,0.1898,0.1896,0.1896,2991.0,binance,0.00017000,0.09
2025-08-08 00:09:00,DOGE-EUR,DOGE,EUR,0.18959000,0.18959000,0.18959000,0.18959000,210.00000000,0.1896,0.1896,0.1896,0.1896,0.0,coinbase,0.00001000,0.01
2025-08-08 00:10:00,DOGE-EUR,DOGE,EUR,0.18971000,0.18971000,0.18971000,0.18971000,8.00000000,0.1896,0.1896,0.1896,0.1896,0.0,binance,0.00011000,0.06
2025-08-08 00:11:00,DOGE-EUR,DOGE,EUR,0.18989000,0.19000000,0.18989000,0.19000000,1963.00000000,0.1898,0.1901,0.1898,0.1901,107.1,coinbase,0.00010000,0.05
2025-08-08 00:12:00,DOGE-EUR,DOGE,EUR,0.19013000,0.19013000,0.19009000,0.19009000,413.00000000,0.1902,0.1908,0.1901,0.1908,9304.0,coinbase,0.00071000,0.37
2025-08-08 00:13:00,DOGE-EUR,DOGE,EUR,0.19030000,0.19072000,0.19030000,0.19072000,2274.00000000,0.1906,0.1906,0.1906,0.1906,2692.0,binance,0.00012000,0.06
2025-08-08 00:14:00,DOGE-EUR,DOGE,EUR,0.19088000,0.19088000,0.19065000,0.19065000,215.00000000,0.191,0.191,0.1908,0.1908,346.2,coinbase,0.00015000,0.08
2025-08-08 00:15:00,DOGE-EUR,DOGE,EUR,0.19062000,0.19062000,0.19033000,0.19047000,5623.00000000,0.1908,0.1908,0.1908,0.1908,0.0,coinbase,0.00033000,0.17
2025-08-08 00:16:00,DOGE-EUR,DOGE,EUR,0.19083000,0.19083000,0.19028000,0.19028000,4269.00000000,0.1906,0.1906,0.19,0.19,17074.7,binance,0.00028000,0.15
2025-08-08 00:17:00,DOGE-EUR,DOGE,EUR,0.19041000,0.19056000,0.19032000,0.19032000,1683.00000000,0.19,0.19,0.19,0.19,0.0,binance,0.00032000,0.17
2025-08-08 00:18:00,DOGE-EUR,DOGE,EUR,0.19026000,0.19028000,0.18973000,0.18985000,60567.00000000,0.19,0.19,0.19,0.19,0.0,coinbase,0.00015000,0.08
2025-08-08 00:19:00,DOGE-EUR,DOGE,EUR,0.18963000,0.18963000,0.18848000,0.18867000,63344.00000000,0.1894,0.1894,0.1883,0.1883,22911.8,binance,0.00037000,0.20
2025-08-08 00:20:00,DOGE-EUR,DOGE,EUR,0.18863000,0.18895000,0.18831000,0.18887000,18603.00000000,0.1889,0.189,0.1889,0.189,14714.2,coinbase,0.00013000,0.07
2025-08-08 00:21:00,DOGE-EUR,DOGE,EUR,0.18883000,0.18953000,0.18883000,0.18953000,6462.00000000,0.189,0.189,0.189,0.189,0.0,binance,0.00053000,0.28
2025-08-08 00:22:00,DOGE-EUR,DOGE,EUR,0.18949000,0.18972000,0.18889000,0.18929000,12656.00000000,0.189,0.189,0.189,0.189,0.0,binance,0.00029000,0.15
2025-08-08 00:23:00,DOGE-EUR,DOGE,EUR,0.18924000,0.19029000,0.18908000,0.18931000,24990.00000000,0.1898,0.1902,0.189,0.189,95590.6,binance,0.00031000,0.16
2025-08-08 00:24:00,DOGE-EUR,DOGE,EUR,0.18923000,0.18954000,0.18895000,0.18954000,19241.00000000,0.1893,0.1901,0.1893,0.1901,11035.8,coinbase,0.00056000,0.30
2025-08-08 00:25:00,DOGE-EUR,DOGE,EUR,0.18965000,0.19043000,0.18965000,0.18986000,18773.00000000,0.1901,0.1904,0.1899,0.1899,31718.7,coinbase,0.00004000,0.02
2025-08-08 00:26:00,DOGE-EUR,DOGE,EUR,0.18991000,0.19117000,0.18991000,0.19117000,25594.00000000,0.1901,0.1913,0.1901,0.1913,215359.9,coinbase,0.00013000,0.07
2025-08-08 00:27:00,DOGE-EUR,DOGE,EUR,0.19116000,0.19116000,0.18933000,0.18997000,28561.00000000,0.1909,0.1909,0.1893,0.1901,67890.2,coinbase,0.00013000,0.07
2025-08-08 00:28:00,DOGE-EUR,DOGE,EUR,0.19014000,0.19014000,0.18966000,0.18971000,24045.00000000,0.1899,0.1901,0.1898,0.1898,20379.1,coinbase,0.00009000,0.05
2025-08-08 00:29:00,DOGE-EUR,DOGE,EUR,0.18975000,0.19001000,0.18960000,0.18960000,9722.00000000,0.1899,0.1899,0.1895,0.1895,29496.3,binance,0.00010000,0.05
2025-08-08 00:30:00,DOGE-EUR,DOGE,EUR,0.18976000,0.18976000,0.18933000,0.18951000,23249.00000000,0.1895,0.1895,0.1895,0.1895,0.0,binance,0.00001000,0.01
2025-08-08 00:31:00,DOGE-EUR,DOGE,EUR,0.18955000,0.18970000,0.18934000,0.18952000,11050.00000000,0.1896,0.1897,0.1895,0.1895,12950.5,binance,0.00002000,0.01
2025-08-08 00:32:00,DOGE-EUR,DOGE,EUR,0.18943000,0.18951000,0.18916000,0.18944000,11080.00000000,0.1892,0.1895,0.1892,0.1895,607.4,coinbase,0.00006000,0.03
2025-08-08 00:33:00,DOGE-EUR,DOGE,EUR,0.18941000,0.18965000,0.18938000,0.18965000,3138.00000000,0.1895,0.1895,0.1895,0.1895,0.0,binance,0.00015000,0.08
2025-08-08 00:34:00,DOGE-EUR,DOGE,EUR,0.18950000,0.18962000,0.18936000,0.18936000,6579.00000000,0.1895,0.1902,0.1894,0.1902,39428.7,coinbase,0.00084000,0.44
2025-08-08 00:35:00,DOGE-EUR,DOGE,EUR,0.18931000,0.18959000,0.18929000,0.18942000,4331.00000000,0.1902,0.1902,0.1902,0.1902,0.0,coinbase,0.00078000,0.41
2025-08-08 00:36:00,DOGE-EUR,DOGE,EUR,0.18917000,0.19026000,0.18910000,0.19020000,9038.00000000,0.1902,0.1902,0.1902,0.1902,0.0,no_arbitrage,0,0.00
2025-08-08 00:37:00,DOGE-EUR,DOGE,EUR,0.19023000,0.19147000,0.19007000,0.19147000,11201.00000000,0.1908,0.1919,0.1908,0.1919,41706.4,coinbase,0.00043000,0.22
2025-08-08 00:38:00,DOGE-EUR,DOGE,EUR,0.19142000,0.19261000,0.19137000,0.19222000,63540.00000000,0.192,0.1926,0.1918,0.1923,60457.4,coinbase,0.00008000,0.04
2025-08-08 00:39:00,DOGE-EUR,DOGE,EUR,0.19231000,0.19261000,0.19194000,0.19194000,16265.00000000,0.1923,0.1926,0.192,0.192,8607.4,coinbase,0.00006000,0.03
2025-08-08 00:40:00,DOGE-EUR,DOGE,EUR,0.19189000,0.19189000,0.19082000,0.19150000,10104.00000000,0.191,0.1917,0.191,0.1917,4781.6,coinbase,0.00020000,0.10
2025-08-08 00:41:00,DOGE-EUR,DOGE,EUR,0.19169000,0.19179000,0.19098000,0.19099000,7221.00000000,0.1912,0.1913,0.191,0.1913,1822.2,coinbase,0.00031000,0.16
2025-08-08 00:42:00,DOGE-EUR,DOGE,EUR,0.19128000,0.19172000,0.19112000,0.19112000,16830.00000000,0.1912,0.1917,0.1912,0.1912,18669.0,coinbase,0.00008000,0.04
2025-08-08 00:43:00,DOGE-EUR,DOGE,EUR,0.19108000,0.19127000,0.19042000,0.19123000,13444.00000000,0.1911,0.1913,0.1905,0.1912,25508.9,binance,0.00003000,0.02
2025-08-08 00:44:00,DOGE-EUR,DOGE,EUR,0.19134000,0.19153000,0.19114000,0.19117000,7850.00000000,0.1913,0.1914,0.1909,0.1909,24623.2,binance,0.00027000,0.14
2025-08-08 00:45:00,DOGE-EUR,DOGE,EUR,0.19093000,0.19142000,0.19070000,0.19141000,5032.00000000,0.1908,0.1915,0.1908,0.1913,71494.8,binance,0.00011000,0.06
2025-08-08 00:46:00,DOGE-EUR,DOGE,EUR,0.19129000,0.19129000,0.19109000,0.19117000,4736.00000000,0.1913,0.1913,0.1909,0.1909,15175.5,binance,0.00027000,0.14
2025-08-08 00:47:00,DOGE-EUR,DOGE,EUR,0.19096000,0.19096000,0.19030000,0.19069000,26702.00000000,0.1907,0.1908,0.1903,0.1908,39419.0,coinbase,0.00011000,0.06
2025-08-08 00:48:00,DOGE-EUR,DOGE,EUR,0.19076000,0.19091000,0.19061000,0.19080000,43659.00000000,0.1908,0.1908,0.1906,0.1908,12024.3,no_arbitrage,0,0.00
2025-08-08 00:49:00,DOGE-EUR,DOGE,EUR,0.19083000,0.19083000,0.19069000,0.19075000,4596.00000000,0.1908,0.1908,0.1907,0.1907,2038.2,binance,0.00005000,0.03
2025-08-08 00:50:00,DOGE-EUR,DOGE,EUR,0.19078000,0.19078000,0.19077000,0.19077000,725.00000000,0.1907,0.1907,0.1907,0.1907,0.0,binance,0.00007000,0.04
2025-08-08 00:51:00,DOGE-EUR,DOGE,EUR,0.19059000,0.19060000,0.19028000,0.19029000,2438.00000000,0.1903,0.1903,0.1903,0.1903,15.4,coinbase,0.00001000,0.01
2025-08-08 00:52:00,DOGE-EUR,DOGE,EUR,0.19023000,0.19023000,0.19006000,0.19015000,7511.00000000,0.1901,0.1902,0.1901,0.1902,785.2,coinbase,0.00005000,0.03
2025-08-08 00:53:00,DOGE-EUR,DOGE,EUR,0.19025000,0.19025000,0.19025000,0.19025000,8.00000000,0.1901,0.1901,0.19,0.19,10985.8,binance,0.00025000,0.13
2025-08-08 00:54:00,DOGE-EUR,DOGE,EUR,0.19028000,0.19037000,0.19027000,0.19027000,2363.00000000,0.19,0.19,0.19,0.19,0.0,binance,0.00027000,0.14
2025-08-08 00:55:00,DOGE-EUR,DOGE,EUR,0.19027000,0.19027000,0.19027000,0.19027000,0.00000000,0.19,0.19,0.19,0.19,0.0,binance,0.00027000,0.14
2025-08-08 00:56:00,DOGE-EUR,DOGE,EUR,0.19005000,0.19017000,0.18991000,0.19017000,1963.00000000,0.19,0.19,0.19,0.19,0.0,binance,0.00017000,0.09
2025-08-08 00:57:00,DOGE-EUR,DOGE,EUR,0.19010000,0.19010000,0.18999000,0.19006000,13896.00000000,0.19,0.19,0.19,0.19,0.0,binance,0.00006000,0.03
2025-08-08 00:58:00,DOGE-EUR,DOGE,EUR,0.19009000,0.19019000,0.19009000,0.19016000,1661.00000000,0.1902,0.1902,0.1902,0.1902,303.7,coinbase,0.00004000,0.02
2025-08-08 00:59:00,DOGE-EUR,DOGE,EUR,0.19021000,0.19030000,0.18978000,0.18978000,19499.00000000,0.19,0.19,0.1897,0.1897,14883.4,binance,0.00008000,0.04
2025-08-08 01:00:00,DOGE-EUR,DOGE,EUR,0.18971000,0.18993000,0.18965000,0.18993000,4275.00000000,0.19,0.19,0.1894,0.1894,59.1,binance,0.00053000,0.28
2025-08-08 01:01:00,DOGE-EUR,DOGE,EUR,0.18963000,0.18963000,0.18921000,0.18925000,3224.00000000,0.1892,0.1899,0.1892,0.1899,2771.0,coinbase,0.00065000,0.34
2025-08-08 01:02:00,DOGE-EUR,DOGE,EUR,0.18918000,0.18990000,0.18912000,0.18990000,5197.00000000,0.1899,0.1899,0.1899,0.1899,0.0,no_arbitrage,0,0.00
2025-08-08 01:03:00,DOGE-EUR,DOGE,EUR,0.19010000,0.19021000,0.18921000,0.18921000,5141.00000000,0.1894,0.1894,0.1891,0.1891,367.1,binance,0.00011000,0.06
2025-08-08 01:04:00,DOGE-EUR,DOGE,EUR,0.18915000,0.18919000,0.18870000,0.18872000,12184.00000000,0.189,0.189,0.1887,0.1887,378.1,binance,0.00002000,0.01
2025-08-08 01:05:00,DOGE-EUR,DOGE,EUR,0.18870000,0.18878000,0.18828000,0.18873000,12634.00000000,0.1884,0.1886,0.1883,0.1886,654.9,binance,0.00013000,0.07
2025-08-08 01:06:00,DOGE-EUR,DOGE,EUR,0.18875000,0.18921000,0.18860000,0.18911000,3011.00000000,0.1888,0.1892,0.1888,0.1889,26804.2,binance,0.00021000,0.11
2025-08-08 01:07:00,DOGE-EUR,DOGE,EUR,0.18890000,0.18967000,0.18882000,0.18966000,5240.00000000,0.189,0.1895,0.1889,0.1892,28703.3,binance,0.00046000,0.24
2025-08-08 01:08:00,DOGE-EUR,DOGE,EUR,0.18915000,0.19010000,0.18903000,0.19010000,6434.00000000,0.1891,0.1901,0.1891,0.1901,5263.4,no_arbitrage,0,0.00
2025-08-08 01:09:00,DOGE-EUR,DOGE,EUR,0.18994000,0.18994000,0.18870000,0.18918000,8397.00000000,0.19,0.19,0.1889,0.1892,26978.1,coinbase,0.00002000,0.01
2025-08-08 01:10:00,DOGE-EUR,DOGE,EUR,0.18927000,0.19011000,0.18919000,0.18983000,3878.00000000,0.1892,0.1892,0.1892,0.1892,0.0,binance,0.00063000,0.33
2025-08-08 01:11:00,DOGE-EUR,DOGE,EUR,0.18975000,0.19040000,0.18975000,0.19040000,15901.00000000,0.1898,0.1904,0.1898,0.1904,5362.8,no_arbitrage,0,0.00
2025-08-08 01:12:00,DOGE-EUR,DOGE,EUR,0.19029000,0.19055000,0.18933000,0.18975000,15232.00000000,0.1898,0.1898,0.1893,0.1897,1518.6,binance,0.00005000,0.03
2025-08-08 01:13:00,DOGE-EUR,DOGE,EUR,0.18965000,0.19154000,0.18963000,0.19104000,19652.00000000,0.1897,0.1914,0.1897,0.1911,4348.5,coinbase,0.00006000,0.03
2025-08-08 01:14:00,DOGE-EUR,DOGE,EUR,0.19099000,0.19122000,0.19070000,0.19114000,5209.00000000,0.1909,0.1911,0.1906,0.1906,8429.8,binance,0.00054000,0.28
2025-08-08 01:15:00,DOGE-EUR,DOGE,EUR,0.19100000,0.19102000,0.18878000,0.18952000,70587.00000000,0.1905,0.1905,0.1892,0.1896,33693.2,coinbase,0.00008000,0.04
2025-08-08 01:16:00,DOGE-EUR,DOGE,EUR,0.18961000,0.19047000,0.18954000,0.18990000,17877.00000000,0.1897,0.1904,0.1896,0.1898,44987.2,binance,0.00010000,0.05
2025-08-08 01:17:00,DOGE-EUR,DOGE,EUR,0.18994000,0.19039000,0.18966000,0.19018000,11760.00000000,0.1899,0.1903,0.1899,0.1903,11465.1,coinbase,0.00012000,0.06
2025-08-08 01:18:00,DOGE-EUR,DOGE,EUR,0.19014000,0.19058000,0.18900000,0.18966000,33593.00000000,0.1899,0.1899,0.189,0.1897,56646.8,coinbase,0.00004000,0.02
2025-08-08 01:19:00,DOGE-EUR,DOGE,EUR,0.18975000,0.19041000,0.18929000,0.18938000,22841.00000000,0.1897,0.1902,0.1891,0.1891,75047.0,binance,0.00028000,0.15
2025-08-08 01:20:00,DOGE-EUR,DOGE,EUR,0.18929000,0.19019000,0.18929000,0.19019000,12734.00000000,0.1894,0.1902,0.1894,0.19,24552.4,binance,0.00019000,0.10
2025-08-08 01:21:00,DOGE-EUR,DOGE,EUR,0.18998000,0.19005000,0.18927000,0.19005000,19324.00000000,0.19,0.19,0.1893,0.1899,23784.0,binance,0.00015000,0.08
2025-08-08 01:22:00,DOGE-EUR,DOGE,EUR,0.18986000,0.19089000,0.18958000,0.19031000,8800.00000000,0.1898,0.1907,0.1896,0.1906,71331.7,coinbase,0.00029000,0.15
2025-08-08 01:23:00,DOGE-EUR,DOGE,EUR,0.19026000,0.19049000,0.19018000,0.19022000,6272.00000000,0.1902,0.1903,0.1902,0.1903,7851.0,coinbase,0.00008000,0.04
2025-08-08 01:24:00,DOGE-EUR,DOGE,EUR,0.19026000,0.19038000,0.18995000,0.19023000,9007.00000000,0.1901,0.1903,0.19,0.1902,1989.9,binance,0.00003000,0.02
2025-08-08 01:25:00,DOGE-EUR,DOGE,EUR,0.19031000,0.19069000,0.19031000,0.19062000,5504.00000000,0.1905,0.1906,0.1905,0.1906,29133.0,binance,0.00002000,0.01
2025-08-08 01:26:00,DOGE-EUR,DOGE,EUR,0.19061000,0.19086000,0.19061000,0.19086000,2262.00000000,0.1906,0.1908,0.1906,0.1908,15652.4,binance,0.00006000,0.03
2025-08-08 01:27:00,DOGE-EUR,DOGE,EUR,0.19098000,0.19103000,0.19065000,0.19066000,1106.00000000,0.191,0.191,0.1906,0.1906,29755.7,binance,0.00006000,0.03
2025-08-08 01:28:00,DOGE-EUR,DOGE,EUR,0.19066000,0.19074000,0.19053000,0.19072000,3788.00000000,0.1906,0.1906,0.1906,0.1906,0.0,binance,0.00012000,0.06
2025-08-08 01:29:00,DOGE-EUR,DOGE,EUR,0.19048000,0.19048000,0.19048000,0.19048000,8.00000000,0.1904,0.1905,0.1904,0.1905,518.8,coinbase,0.00002000,0.01
2025-08-08 01:30:00,DOGE-EUR,DOGE,EUR,0.19040000,0.19051000,0.19020000,0.19051000,5622.00000000,0.1905,0.1905,0.1905,0.1905,0.0,binance,0.00001000,0.01
2025-08-08 01:31:00,DOGE-EUR,DOGE,EUR,0.19059000,0.19059000,0.19028000,0.19034000,5212.00000000,0.1904,0.1904,0.1902,0.1902,5480.6,binance,0.00014000,0.07
2025-08-08 01:32:00,DOGE-EUR,DOGE,EUR,0.19030000,0.19030000,0.19010000,0.19010000,5416.00000000,0.1902,0.1902,0.1902,0.1902,0.0,coinbase,0.00010000,0.05
2025-08-08 01:33:00,DOGE-EUR,DOGE,EUR,0.18994000,0.18994000,0.18989000,0.18989000,14413.00000000,0.1902,0.1902,0.1902,0.1902,0.0,coinbase,0.00031000,0.16
2025-08-08 01:34:00,DOGE-EUR,DOGE,EUR,0.19008000,0.19019000,0.18986000,0.18991000,4653.00000000,0.19,0.19,0.1898,0.1898,10358.1,binance,0.00011000,0.06
