open_time,pair,base,quote,binance_open,binance_high,binance_low,binance_close,binance_volume,coinbase_open,coinbase_high,coinbase_low,coinbase_close,coinbase_volume,best_exchange,profit,profit_percentage
2025-08-08 00:00:00,DOT-EUR,DOT,EUR,3.31400000,3.31400000,3.31200000,3.31200000,134.18000000,3.31,3.31,3.31,3.31,0.0,binance,0.00200000,0.06
2025-08-08 00:01:00,DOT-EUR,DOT,EUR,3.31300000,3.31300000,3.31200000,3.31200000,89.28000000,3.31,3.31,3.31,3.31,318.346,binance,0.00200000,0.06
2025-08-08 00:02:00,DOT-EUR,DOT,EUR,3.31600000,3.31600000,3.31600000,3.31600000,61.55000000,3.31,3.31,3.31,3.31,0.0,binance,0.00600000,0.18
2025-08-08 00:03:00,DOT-EUR,DOT,EUR,3.31800000,3.31800000,3.31800000,3.31800000,3.01000000,3.31,3.31,3.31,3.31,0.0,binance,0.00800000,0.24
2025-08-08 00:04:00,DOT-EUR,DOT,EUR,3.31100000,3.31100000,3.30000000,3.30000000,735.51000000,3.3,3.3,3.3,3.3,1001.879,no_arbitrage,0,0.00
2025-08-08 00:05:00,DOT-EUR,DOT,EUR,3.29600000,3.29700000,3.29600000,3.29700000,239.29000000,3.3,3.3,3.3,3.3,0.0,coinbase,0.00300000,0.09
2025-08-08 00:06:00,DOT-EUR,DOT,EUR,3.29700000,3.29700000,3.29700000,3.29700000,0.00000000,3.3,3.31,3.3,3.31,635.436,coinbase,0.01300000,0.39
2025-08-08 00:07:00,DOT-EUR,DOT,EUR,3.29700000,3.29700000,3.29700000,3.29700000,20.78000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.01300000,0.39
2025-08-08 00:08:00,DOT-EUR,DOT,EUR,3.30200000,3.30200000,3.29900000,3.29900000,39.89000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.01100000,0.33
2025-08-08 00:09:00,DOT-EUR,DOT,EUR,3.29500000,3.29500000,3.29500000,3.29500000,46.03000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.01500000,0.46
2025-08-08 00:10:00,DOT-EUR,DOT,EUR,3.29900000,3.29900000,3.29900000,3.29900000,121.12000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.01100000,0.33
2025-08-08 00:11:00,DOT-EUR,DOT,EUR,3.29900000,3.29900000,3.29900000,3.29900000,0.00000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.01100000,0.33
2025-08-08 00:12:00,DOT-EUR,DOT,EUR,3.29900000,3.29900000,3.29900000,3.29900000,0.00000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.01100000,0.33
2025-08-08 00:13:00,DOT-EUR,DOT,EUR,3.29900000,3.29900000,3.29900000,3.29900000,0.00000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.01100000,0.33
2025-08-08 00:14:00,DOT-EUR,DOT,EUR,3.31500000,3.31500000,3.31500000,3.31500000,11.00000000,3.31,3.31,3.31,3.31,0.0,binance,0.00500000,0.15
2025-08-08 00:15:00,DOT-EUR,DOT,EUR,3.31500000,3.31500000,3.31500000,3.31500000,0.00000000,3.31,3.31,3.31,3.31,76.355,binance,0.00500000,0.15
2025-08-08 00:16:00,DOT-EUR,DOT,EUR,3.31500000,3.31500000,3.31500000,3.31500000,0.00000000,3.31,3.31,3.31,3.31,0.0,binance,0.00500000,0.15
2025-08-08 00:17:00,DOT-EUR,DOT,EUR,3.31500000,3.31500000,3.31500000,3.31500000,0.00000000,3.31,3.31,3.31,3.31,0.0,binance,0.00500000,0.15
2025-08-08 00:18:00,DOT-EUR,DOT,EUR,3.30800000,3.30800000,3.30700000,3.30700000,217.27000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.00300000,0.09
2025-08-08 00:19:00,DOT-EUR,DOT,EUR,3.28400000,3.28400000,3.26800000,3.26800000,647.40000000,3.27,3.27,3.27,3.27,124.026,coinbase,0.00200000,0.06
2025-08-08 00:20:00,DOT-EUR,DOT,EUR,3.26800000,3.27400000,3.26300000,3.27400000,263.93000000,3.27,3.27,3.27,3.27,53.154,binance,0.00400000,0.12
2025-08-08 00:21:00,DOT-EUR,DOT,EUR,3.27300000,3.28600000,3.27300000,3.28600000,153.39000000,3.27,3.27,3.27,3.27,0.0,binance,0.01600000,0.49
2025-08-08 00:22:00,DOT-EUR,DOT,EUR,3.28100000,3.28100000,3.27100000,3.27100000,209.19000000,3.28,3.29,3.28,3.29,1359.998,coinbase,0.01900000,0.58
2025-08-08 00:23:00,DOT-EUR,DOT,EUR,3.27600000,3.30700000,3.27600000,3.28700000,1248.50000000,3.3,3.31,3.29,3.3,5395.064,coinbase,0.01300000,0.40
2025-08-08 00:24:00,DOT-EUR,DOT,EUR,3.28200000,3.29400000,3.28200000,3.29400000,390.31000000,3.3,3.3,3.3,3.3,0.0,coinbase,0.00600000,0.18
2025-08-08 00:25:00,DOT-EUR,DOT,EUR,3.30300000,3.30800000,3.30300000,3.30400000,389.20000000,3.31,3.31,3.3,3.3,2023.15,binance,0.00400000,0.12
2025-08-08 00:26:00,DOT-EUR,DOT,EUR,3.32000000,3.32400000,3.32000000,3.32400000,47.24000000,3.3,3.32,3.3,3.31,3356.252,binance,0.01400000,0.42
2025-08-08 00:27:00,DOT-EUR,DOT,EUR,3.32700000,3.32700000,3.29300000,3.29500000,2142.31000000,3.3,3.31,3.29,3.31,3689.591,coinbase,0.01500000,0.46
2025-08-08 00:28:00,DOT-EUR,DOT,EUR,3.30300000,3.30500000,3.30300000,3.30300000,390.66000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.00700000,0.21
2025-08-08 00:29:00,DOT-EUR,DOT,EUR,3.30600000,3.31100000,3.30200000,3.30800000,589.12000000,3.3,3.31,3.3,3.31,2956.279,coinbase,0.00200000,0.06
2025-08-08 00:30:00,DOT-EUR,DOT,EUR,3.30700000,3.30700000,3.30600000,3.30600000,284.77000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.00400000,0.12
2025-08-08 00:31:00,DOT-EUR,DOT,EUR,3.30900000,3.30900000,3.30900000,3.30900000,175.43000000,3.31,3.31,3.31,3.31,479.337,coinbase,0.00100000,0.03
2025-08-08 00:32:00,DOT-EUR,DOT,EUR,3.30700000,3.30900000,3.30700000,3.30900000,196.48000000,3.31,3.31,3.3,3.3,417.438,binance,0.00900000,0.27
2025-08-08 00:33:00,DOT-EUR,DOT,EUR,3.30900000,3.30900000,3.30900000,3.30900000,0.00000000,3.3,3.3,3.3,3.3,0.0,binance,0.00900000,0.27
2025-08-08 00:34:00,DOT-EUR,DOT,EUR,3.30600000,3.30800000,3.30600000,3.30800000,7.02000000,3.3,3.3,3.3,3.3,0.0,binance,0.00800000,0.24
2025-08-08 00:35:00,DOT-EUR,DOT,EUR,3.30600000,3.30600000,3.30600000,3.30600000,85.34000000,3.3,3.3,3.3,3.3,0.0,binance,0.00600000,0.18
2025-08-08 00:36:00,DOT-EUR,DOT,EUR,3.31400000,3.32600000,3.31400000,3.32600000,86.67000000,3.32,3.33,3.32,3.33,341.585,coinbase,0.00400000,0.12
2025-08-08 00:37:00,DOT-EUR,DOT,EUR,3.33400000,3.34300000,3.33300000,3.34300000,2953.39000000,3.34,3.35,3.34,3.35,276.625,coinbase,0.00700000,0.21
2025-08-08 00:38:00,DOT-EUR,DOT,EUR,3.34600000,3.35900000,3.34600000,3.35500000,541.70000000,3.36,3.36,3.36,3.36,3717.851,coinbase,0.00500000,0.15
2025-08-08 00:39:00,DOT-EUR,DOT,EUR,3.36100000,3.36100000,3.35000000,3.35000000,339.50000000,3.36,3.36,3.36,3.36,0.0,coinbase,0.01000000,0.30
2025-08-08 00:40:00,DOT-EUR,DOT,EUR,3.34900000,3.34900000,3.33800000,3.34800000,340.54000000,3.36,3.36,3.36,3.36,0.0,coinbase,0.01200000,0.36
2025-08-08 00:41:00,DOT-EUR,DOT,EUR,3.34800000,3.34800000,3.34800000,3.34800000,0.00000000,3.34,3.34,3.34,3.34,1300.42,binance,0.00800000,0.24
2025-08-08 00:42:00,DOT-EUR,DOT,EUR,3.34800000,3.34800000,3.34800000,3.34800000,0.00000000,3.34,3.34,3.34,3.34,0.0,binance,0.00800000,0.24
2025-08-08 00:43:00,DOT-EUR,DOT,EUR,3.34800000,3.34800000,3.34800000,3.34800000,0.00000000,3.34,3.34,3.34,3.34,0.0,binance,0.00800000,0.24
2025-08-08 00:44:00,DOT-EUR,DOT,EUR,3.34000000,3.34000000,3.33700000,3.33700000,78.00000000,3.34,3.34,3.34,3.34,0.0,coinbase,0.00300000,0.09
2025-08-08 00:45:00,DOT-EUR,DOT,EUR,3.33700000,3.33700000,3.33700000,3.33700000,0.00000000,3.34,3.34,3.34,3.34,0.0,coinbase,0.00300000,0.09
2025-08-08 00:46:00,DOT-EUR,DOT,EUR,3.34100000,3.34100000,3.33900000,3.33900000,94.50000000,3.34,3.34,3.33,3.33,152.899,binance,0.00900000,0.27
2025-08-08 00:47:00,DOT-EUR,DOT,EUR,3.33000000,3.33400000,3.33000000,3.33400000,70.87000000,3.33,3.33,3.33,3.33,17.718,binance,0.00400000,0.12
2025-08-08 00:48:00,DOT-EUR,DOT,EUR,3.33500000,3.33500000,3.32900000,3.33200000,901.59000000,3.33,3.33,3.33,3.33,70.872,binance,0.00200000,0.06
2025-08-08 00:49:00,DOT-EUR,DOT,EUR,3.33100000,3.33100000,3.32900000,3.32900000,99.80000000,3.33,3.33,3.33,3.33,0.0,coinbase,0.00100000,0.03
2025-08-08 00:50:00,DOT-EUR,DOT,EUR,3.32800000,3.33000000,3.32800000,3.32900000,338.24000000,3.33,3.33,3.33,3.33,0.0,coinbase,0.00100000,0.03
2025-08-08 00:51:00,DOT-EUR,DOT,EUR,3.32700000,3.32700000,3.32600000,3.32600000,134.22000000,3.33,3.33,3.33,3.33,0.0,coinbase,0.00400000,0.12
2025-08-08 00:52:00,DOT-EUR,DOT,EUR,3.33000000,3.33100000,3.33000000,3.33100000,47.24000000,3.33,3.33,3.33,3.33,472.661,binance,0.00100000,0.03
2025-08-08 00:53:00,DOT-EUR,DOT,EUR,3.33100000,3.33100000,3.33100000,3.33100000,0.00000000,3.33,3.33,3.33,3.33,0.0,binance,0.00100000,0.03
2025-08-08 00:54:00,DOT-EUR,DOT,EUR,3.33100000,3.33100000,3.33100000,3.33100000,0.00000000,3.33,3.33,3.32,3.32,553.397,binance,0.01100000,0.33
2025-08-08 00:55:00,DOT-EUR,DOT,EUR,3.33100000,3.33100000,3.33100000,3.33100000,0.00000000,3.32,3.32,3.32,3.32,0.0,binance,0.01100000,0.33
2025-08-08 00:56:00,DOT-EUR,DOT,EUR,3.33100000,3.33100000,3.33100000,3.33100000,0.00000000,3.32,3.32,3.32,3.32,0.0,binance,0.01100000,0.33
2025-08-08 00:57:00,DOT-EUR,DOT,EUR,3.32400000,3.32400000,3.32300000,3.32300000,17.27000000,3.32,3.32,3.32,3.32,0.0,binance,0.00300000,0.09
2025-08-08 00:58:00,DOT-EUR,DOT,EUR,3.32700000,3.32800000,3.32700000,3.32700000,51.50000000,3.32,3.32,3.32,3.32,0.0,binance,0.00700000,0.21
2025-08-08 00:59:00,DOT-EUR,DOT,EUR,3.32800000,3.32800000,3.31200000,3.31200000,117.17000000,3.32,3.32,3.32,3.32,0.0,coinbase,0.00800000,0.24
2025-08-08 01:00:00,DOT-EUR,DOT,EUR,3.31800000,3.32000000,3.31800000,3.32000000,83.68000000,3.32,3.32,3.32,3.32,0.0,no_arbitrage,0,0.00
2025-08-08 01:01:00,DOT-EUR,DOT,EUR,3.32000000,3.32000000,3.32000000,3.32000000,0.00000000,3.31,3.31,3.31,3.31,1805.07,binance,0.01000000,0.30
2025-08-08 01:02:00,DOT-EUR,DOT,EUR,3.30800000,3.30900000,3.30800000,3.30900000,402.61000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.00100000,0.03
2025-08-08 01:03:00,DOT-EUR,DOT,EUR,3.31800000,3.31800000,3.30300000,3.30300000,302.79000000,3.31,3.31,3.3,3.3,32.53,binance,0.00300000,0.09
2025-08-08 01:04:00,DOT-EUR,DOT,EUR,3.29800000,3.29800000,3.28000000,3.28000000,168.48000000,3.29,3.29,3.28,3.28,2085.238,no_arbitrage,0,0.00
2025-08-08 01:05:00,DOT-EUR,DOT,EUR,3.27800000,3.28600000,3.27200000,3.28100000,702.46000000,3.28,3.29,3.27,3.29,961.414,coinbase,0.00900000,0.27
2025-08-08 01:06:00,DOT-EUR,DOT,EUR,3.28400000,3.29600000,3.28300000,3.29300000,479.12000000,3.3,3.3,3.3,3.3,0.294,coinbase,0.00700000,0.21
2025-08-08 01:07:00,DOT-EUR,DOT,EUR,3.29200000,3.31300000,3.29200000,3.30400000,230.66000000,3.29,3.3,3.29,3.3,165.455,binance,0.00400000,0.12
2025-08-08 01:08:00,DOT-EUR,DOT,EUR,3.29600000,3.31700000,3.29600000,3.31700000,927.82000000,3.3,3.32,3.3,3.32,1249.272,coinbase,0.00300000,0.09
2025-08-08 01:09:00,DOT-EUR,DOT,EUR,3.31900000,3.31900000,3.28500000,3.29700000,1848.81000000,3.32,3.32,3.29,3.31,1381.241,coinbase,0.01300000,0.39
2025-08-08 01:10:00,DOT-EUR,DOT,EUR,3.29700000,3.31500000,3.29700000,3.30800000,1199.45000000,3.31,3.31,3.31,3.31,0.0,coinbase,0.00200000,0.06
2025-08-08 01:11:00,DOT-EUR,DOT,EUR,3.31400000,3.32500000,3.31100000,3.32500000,628.62000000,3.31,3.32,3.31,3.32,451.079,binance,0.00500000,0.15
2025-08-08 01:12:00,DOT-EUR,DOT,EUR,3.32500000,3.32500000,3.30000000,3.31000000,485.31000000,3.32,3.32,3.3,3.31,1114.948,no_arbitrage,0,0.00
