open_time,pair,base,quote,binance_open,binance_high,binance_low,binance_close,binance_volume,coinbase_open,coinbase_high,coinbase_low,coinbase_close,coinbase_volume,best_exchange,profit,profit_percentage
2025-08-08 00:00:00,DOT-USDT,DOT,USDT,3.86700000,3.87100000,3.86200000,3.86300000,8758.80000000,3.87,3.87,3.87,3.87,0.0,coinbase,0.00700000,0.18
2025-08-08 00:01:00,DOT-USDT,DOT,USDT,3.86300000,3.87000000,3.86300000,3.86900000,9237.42000000,3.87,3.87,3.87,3.87,0.0,coinbase,0.00100000,0.03
2025-08-08 00:02:00,DOT-USDT,DOT,USDT,3.86900000,3.87200000,3.86900000,3.87100000,2562.67000000,3.87,3.87,3.87,3.87,70.874,binance,0.00100000,0.03
2025-08-08 00:03:00,DOT-USDT,DOT,USDT,3.87200000,3.87500000,3.87100000,3.87500000,4207.13000000,3.87,3.87,3.87,3.87,0.0,binance,0.00500000,0.13
2025-08-08 00:04:00,DOT-USDT,DOT,USDT,3.87600000,3.87700000,3.84800000,3.85900000,106574.72000000,3.86,3.86,3.85,3.86,161.384,coinbase,0.00100000,0.03
2025-08-08 00:05:00,DOT-USDT,DOT,USDT,3.86000000,3.86100000,3.84300000,3.85600000,52272.66000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.00400000,0.10
2025-08-08 00:06:00,DOT-USDT,DOT,USDT,3.85600000,3.86100000,3.84800000,3.84800000,10576.87000000,3.86,3.86,3.85,3.86,141.748,coinbase,0.01200000,0.31
2025-08-08 00:07:00,DOT-USDT,DOT,USDT,3.84800000,3.85600000,3.84600000,3.85500000,14468.33000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.00500000,0.13
2025-08-08 00:08:00,DOT-USDT,DOT,USDT,3.85500000,3.85500000,3.84800000,3.84800000,2922.80000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.01200000,0.31
2025-08-08 00:09:00,DOT-USDT,DOT,USDT,3.84800000,3.84800000,3.84600000,3.84700000,2013.58000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.01300000,0.34
2025-08-08 00:10:00,DOT-USDT,DOT,USDT,3.84800000,3.85100000,3.84400000,3.85000000,8170.82000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.01000000,0.26
2025-08-08 00:11:00,DOT-USDT,DOT,USDT,3.85000000,3.85800000,3.85000000,3.85800000,1855.32000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.00200000,0.05
2025-08-08 00:12:00,DOT-USDT,DOT,USDT,3.85600000,3.86200000,3.85500000,3.86000000,3115.56000000,3.86,3.86,3.86,3.86,0.0,no_arbitrage,0,0.00
2025-08-08 00:13:00,DOT-USDT,DOT,USDT,3.86200000,3.86900000,3.86200000,3.86800000,7281.83000000,3.86,3.86,3.86,3.86,0.0,binance,0.00800000,0.21
2025-08-08 00:14:00,DOT-USDT,DOT,USDT,3.86800000,3.87100000,3.86400000,3.86500000,9502.71000000,3.86,3.86,3.86,3.86,0.0,binance,0.00500000,0.13
2025-08-08 00:15:00,DOT-USDT,DOT,USDT,3.86400000,3.86400000,3.85900000,3.86400000,4530.92000000,3.86,3.86,3.86,3.86,0.0,binance,0.00400000,0.10
2025-08-08 00:16:00,DOT-USDT,DOT,USDT,3.86400000,3.86400000,3.85700000,3.85900000,4796.73000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.00100000,0.03
2025-08-08 00:17:00,DOT-USDT,DOT,USDT,3.85900000,3.86400000,3.85900000,3.86200000,6227.32000000,3.86,3.86,3.85,3.85,106.311,binance,0.01200000,0.31
2025-08-08 00:18:00,DOT-USDT,DOT,USDT,3.86200000,3.86300000,3.85000000,3.85000000,22875.75000000,3.85,3.85,3.85,3.85,0.0,no_arbitrage,0,0.00
2025-08-08 00:19:00,DOT-USDT,DOT,USDT,3.85000000,3.85000000,3.81100000,3.81400000,72245.92000000,3.84,3.84,3.83,3.83,61.737,coinbase,0.01600000,0.42
2025-08-08 00:20:00,DOT-USDT,DOT,USDT,3.81400000,3.82400000,3.80900000,3.82000000,43911.01000000,3.83,3.83,3.83,3.83,0.0,coinbase,0.01000000,0.26
2025-08-08 00:21:00,DOT-USDT,DOT,USDT,3.81900000,3.83600000,3.81700000,3.83200000,16829.37000000,3.83,3.83,3.83,3.83,0.0,binance,0.00200000,0.05
2025-08-08 00:22:00,DOT-USDT,DOT,USDT,3.83100000,3.83600000,3.81600000,3.82600000,28546.28000000,3.83,3.86,3.82,3.86,240.284,coinbase,0.03400000,0.89
2025-08-08 00:23:00,DOT-USDT,DOT,USDT,3.82600000,3.86200000,3.82200000,3.83600000,61220.91000000,3.84,3.86,3.84,3.86,77.966,coinbase,0.02400000,0.63
2025-08-08 00:24:00,DOT-USDT,DOT,USDT,3.83600000,3.84600000,3.82700000,3.84500000,25630.84000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.01500000,0.39
2025-08-08 00:25:00,DOT-USDT,DOT,USDT,3.84600000,3.86300000,3.84500000,3.85000000,42590.03000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.01000000,0.26
2025-08-08 00:26:00,DOT-USDT,DOT,USDT,3.85000000,3.88700000,3.85000000,3.88700000,51500.24000000,3.87,3.88,3.86,3.86,373.585,binance,0.02700000,0.70
2025-08-08 00:27:00,DOT-USDT,DOT,USDT,3.88600000,3.88600000,3.84100000,3.85200000,48905.61000000,3.85,3.86,3.84,3.86,395.904,coinbase,0.00800000,0.21
2025-08-08 00:28:00,DOT-USDT,DOT,USDT,3.85200000,3.85800000,3.84800000,3.85100000,6133.50000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.00900000,0.23
2025-08-08 00:29:00,DOT-USDT,DOT,USDT,3.85000000,3.87000000,3.85000000,3.85900000,210638.77000000,3.86,3.86,3.86,3.86,0.0,coinbase,0.00100000,0.03
2025-08-08 00:30:00,DOT-USDT,DOT,USDT,3.86000000,3.86200000,3.85500000,3.86100000,64295.03000000,3.86,3.86,3.86,3.86,0.0,binance,0.00100000,0.03
2025-08-08 00:31:00,DOT-USDT,DOT,USDT,3.86200000,3.86600000,3.85700000,3.86000000,20628.04000000,3.86,3.86,3.86,3.86,0.0,no_arbitrage,0,0.00
2025-08-08 00:32:00,DOT-USDT,DOT,USDT,3.86100000,3.86400000,3.85800000,3.85900000,33547.84000000,3.86,3.9,3.86,3.9,47.028,coinbase,0.04100000,1.06
2025-08-08 00:33:00,DOT-USDT,DOT,USDT,3.85900000,3.86500000,3.85800000,3.86100000,12620.90000000,3.9,3.9,3.9,3.9,0.0,coinbase,0.03900000,1.01
2025-08-08 00:34:00,DOT-USDT,DOT,USDT,3.86100000,3.86100000,3.85600000,3.85600000,7164.49000000,3.9,3.9,3.9,3.9,0.0,coinbase,0.04400000,1.14
2025-08-08 00:35:00,DOT-USDT,DOT,USDT,3.85500000,3.85900000,3.85500000,3.85800000,6299.63000000,3.9,3.9,3.9,3.9,0.0,coinbase,0.04200000,1.09
2025-08-08 00:36:00,DOT-USDT,DOT,USDT,3.85700000,3.88200000,3.85000000,3.88200000,28955.25000000,3.9,3.9,3.9,3.9,0.0,coinbase,0.01800000,0.46
2025-08-08 00:37:00,DOT-USDT,DOT,USDT,3.88200000,3.90500000,3.87800000,3.90500000,109319.78000000,3.9,3.91,3.9,3.91,141.748,coinbase,0.00500000,0.13
2025-08-08 00:38:00,DOT-USDT,DOT,USDT,3.90400000,3.92800000,3.90300000,3.92100000,72055.38000000,3.92,3.92,3.92,3.92,149.027,binance,0.00100000,0.03
2025-08-08 00:39:00,DOT-USDT,DOT,USDT,3.92000000,3.92300000,3.90500000,3.90500000,45257.58000000,3.92,3.92,3.89,3.89,143.981,binance,0.01500000,0.39
2025-08-08 00:40:00,DOT-USDT,DOT,USDT,3.90600000,3.90800000,3.88900000,3.90400000,36651.30000000,3.89,3.89,3.89,3.89,0.0,binance,0.01400000,0.36
2025-08-08 00:41:00,DOT-USDT,DOT,USDT,3.90500000,3.90500000,3.89100000,3.89700000,14337.43000000,3.89,3.89,3.89,3.89,0.0,binance,0.00700000,0.18
2025-08-08 00:42:00,DOT-USDT,DOT,USDT,3.89700000,3.89900000,3.89300000,3.89300000,10940.38000000,3.89,3.89,3.89,3.89,0.0,binance,0.00300000,0.08
2025-08-08 00:43:00,DOT-USDT,DOT,USDT,3.89300000,3.89500000,3.88200000,3.89200000,13347.16000000,3.89,3.89,3.89,3.89,0.0,binance,0.00200000,0.05
2025-08-08 00:44:00,DOT-USDT,DOT,USDT,3.89300000,3.89700000,3.88900000,3.89200000,10291.39000000,3.89,3.89,3.89,3.89,0.0,binance,0.00200000,0.05
2025-08-08 00:45:00,DOT-USDT,DOT,USDT,3.89200000,3.90200000,3.88900000,3.89700000,7733.89000000,3.89,3.89,3.89,3.89,0.0,binance,0.00700000,0.18
2025-08-08 00:46:00,DOT-USDT,DOT,USDT,3.89600000,3.89800000,3.89200000,3.89200000,6114.86000000,3.89,3.89,3.89,3.89,0.0,binance,0.00200000,0.05
2025-08-08 00:47:00,DOT-USDT,DOT,USDT,3.89300000,3.89400000,3.88100000,3.89000000,15326.15000000,3.89,3.89,3.89,3.89,0.0,no_arbitrage,0,0.00
2025-08-08 00:48:00,DOT-USDT,DOT,USDT,3.88900000,3.89100000,3.88400000,3.88500000,20685.85000000,3.89,3.89,3.89,3.89,0.0,coinbase,0.00500000,0.13
