open_time,pair,base,quote,binance_open,binance_high,binance_low,binance_close,binance_volume,coinbase_open,coinbase_high,coinbase_low,coinbase_close,coinbase_volume,best_exchange,profit,profit_percentage
2025-08-08 00:00:00,ETH-BTC,ETH,BTC,0.03328000,0.03331000,0.03323000,0.03323000,41.81090000,0.0333,0.0333,0.03322,0.03322,4.79049524,binance,0.00001000,0.03
2025-08-08 00:01:00,ETH-BTC,ETH,BTC,0.03322000,0.03323000,0.03322000,0.03322000,41.06000000,0.03322,0.03323,0.03321,0.03321,2.54020038,binance,0.00001000,0.03
2025-08-08 00:02:00,ETH-BTC,ETH,BTC,0.03322000,0.03323000,0.03322000,0.03322000,4.34510000,0.03322,0.03322,0.03321,0.03322,0.51299158,no_arbitrage,0,0.00
2025-08-08 00:03:00,ETH-BTC,ETH,BTC,0.03322000,0.03323000,0.03320000,0.03323000,26.88280000,0.03322,0.03323,0.03322,0.03323,4.27760815,no_arbitrage,0,0.00
2025-08-08 00:04:00,ETH-BTC,ETH,BTC,0.03323000,0.03323000,0.03317000,0.03318000,47.20710000,0.03321,0.03321,0.03317,0.03317,17.34724492,binance,0.00001000,0.03
2025-08-08 00:05:00,ETH-BTC,ETH,BTC,0.03317000,0.03320000,0.03315000,0.03318000,79.06640000,0.03314,0.03318,0.03314,0.03318,0.32670276,no_arbitrage,0,0.00
2025-08-08 00:06:00,ETH-BTC,ETH,BTC,0.03318000,0.03323000,0.03318000,0.03322000,6.89160000,0.03319,0.03322,0.03319,0.03322,0.0264311,no_arbitrage,0,0.00
2025-08-08 00:07:00,ETH-BTC,ETH,BTC,0.03322000,0.03325000,0.03321000,0.03325000,12.72340000,0.03322,0.03323,0.03322,0.03323,0.00386228,binance,0.00002000,0.06
2025-08-08 00:08:00,ETH-BTC,ETH,BTC,0.03325000,0.03326000,0.03324000,0.03325000,6.12010000,0.03324,0.03325,0.03324,0.03324,15.34748388,binance,0.00001000,0.03
2025-08-08 00:09:00,ETH-BTC,ETH,BTC,0.03325000,0.03325000,0.03323000,0.03323000,161.12840000,0.03323,0.03323,0.03323,0.03323,0.01174364,no_arbitrage,0,0.00
2025-08-08 00:10:00,ETH-BTC,ETH,BTC,0.03324000,0.03325000,0.03323000,0.03324000,17.38160000,0.03324,0.03324,0.03323,0.03323,0.86935999,binance,0.00001000,0.03
2025-08-08 00:11:00,ETH-BTC,ETH,BTC,0.03324000,0.03328000,0.03323000,0.03327000,33.44990000,0.03324,0.03327,0.03324,0.03327,0.38057508,no_arbitrage,0,0.00
2025-08-08 00:12:00,ETH-BTC,ETH,BTC,0.03327000,0.03329000,0.03327000,0.03328000,3.48890000,0.03328,0.03328,0.03327,0.03327,0.08648057,binance,0.00001000,0.03
