open_time,pair,base,quote,binance_open,binance_high,binance_low,binance_close,binance_volume,coinbase_open,coinbase_high,coinbase_low,coinbase_close,coinbase_volume,best_exchange,profit,profit_percentage
2025-08-08 00:00:00,LINK-BTC,LINK,BTC,0.00015730,0.00015730,0.00015710,0.00015720,529.28000000,0.00015731,0.00015735,0.00015718,0.00015718,28.99,binance,0.00000002,0.01
2025-08-08 00:01:00,LINK-BTC,LINK,BTC,0.00015730,0.00015730,0.00015720,0.00015730,363.54000000,0.00015727,0.00015731,0.00015723,0.00015729,43.85,binance,0.00000001,0.01
2025-08-08 00:02:00,LINK-BTC,LINK,BTC,0.00015710,0.00015720,0.00015710,0.00015720,2.04000000,0.00015721,0.00015721,0.00015715,0.00015715,29.04,binance,0.00000005,0.03
2025-08-08 00:03:00,LINK-BTC,LINK,BTC,0.00015720,0.00015720,0.00015710,0.00015720,21.12000000,0.00015722,0.00015725,0.00015715,0.00015715,56.1,binance,0.00000005,0.03
2025-08-08 00:04:00,LINK-BTC,LINK,BTC,0.00015710,0.00015710,0.00015600,0.00015640,387.10000000,0.00015713,0.00015713,0.00015613,0.00015644,58.83,coinbase,0.00000004,0.03
2025-08-08 00:05:00,LINK-BTC,LINK,BTC,0.00015650,0.00015650,0.00015590,0.00015650,549.91000000,0.00015653,0.00015653,0.00015609,0.00015643,72.8,binance,0.00000007,0.04
2025-08-08 00:06:00,LINK-BTC,LINK,BTC,0.00015650,0.00015660,0.00015630,0.00015630,205.82000000,0.00015645,0.00015651,0.00015622,0.00015622,47.37,binance,0.00000008,0.05
2025-08-08 00:07:00,LINK-BTC,LINK,BTC,0.00015630,0.00015640,0.00015630,0.00015640,7.48000000,0.00015622,0.00015643,0.00015622,0.00015643,40.14,coinbase,0.00000003,0.02
2025-08-08 00:08:00,LINK-BTC,LINK,BTC,0.00015640,0.00015640,0.00015630,0.00015640,40.85000000,0.00015639,0.00015643,0.00015627,0.00015627,51.09,binance,0.00000013,0.08
2025-08-08 00:09:00,LINK-BTC,LINK,BTC,0.00015630,0.00015650,0.00015630,0.00015650,75.77000000,0.00015629,0.00015641,0.00015629,0.00015641,29.2,binance,0.00000009,0.06
2025-08-08 00:10:00,LINK-BTC,LINK,BTC,0.00015650,0.00015660,0.00015650,0.00015660,23.01000000,0.00015652,0.00015671,0.00015652,0.00015671,58.25,coinbase,0.00000011,0.07
2025-08-08 00:11:00,LINK-BTC,LINK,BTC,0.00015660,0.00015690,0.00015660,0.00015690,6.62000000,0.00015669,0.00015695,0.00015663,0.00015695,72.75,coinbase,0.00000005,0.03
2025-08-08 00:12:00,LINK-BTC,LINK,BTC,0.00015700,0.00015720,0.00015700,0.00015720,44.20000000,0.000157,0.00015727,0.000157,0.00015718,58.81,binance,0.00000002,0.01
2025-08-08 00:13:00,LINK-BTC,LINK,BTC,0.00015730,0.00015740,0.00015720,0.00015730,16.53000000,0.00015725,0.00015739,0.00015725,0.00015733,66.6,coinbase,0.00000003,0.02
2025-08-08 00:14:00,LINK-BTC,LINK,BTC,0.00015720,0.00015720,0.00015710,0.00015710,6.51000000,0.00015729,0.00015729,0.00015703,0.00015703,54.44,binance,0.00000007,0.04
2025-08-08 00:15:00,LINK-BTC,LINK,BTC,0.00015700,0.00015700,0.00015700,0.00015700,1.32000000,0.00015701,0.00015707,0.00015695,0.00015707,36.3,coinbase,0.00000007,0.04
2025-08-08 00:16:00,LINK-BTC,LINK,BTC,0.00015690,0.00015720,0.00015690,0.00015720,118.28000000,0.00015701,0.00015721,0.00015695,0.00015721,58.08,coinbase,0.00000001,0.01
2025-08-08 00:17:00,LINK-BTC,LINK,BTC,0.00015750,0.00015770,0.00015690,0.00015690,4056.59000000,0.0001575,0.00015751,0.00015691,0.00015691,74.5,coinbase,0.00000001,0.01
2025-08-08 00:18:00,LINK-BTC,LINK,BTC,0.00015680,0.00015700,0.00015620,0.00015670,725.30000000,0.00015648,0.00015687,0.00015648,0.00015668,65.48,binance,0.00000002,0.01
2025-08-08 00:19:00,LINK-BTC,LINK,BTC,0.00015660,0.00015660,0.00015500,0.00015520,3838.60000000,0.00015637,0.00015637,0.00015492,0.00015492,132.03,binance,0.00000028,0.18
2025-08-08 00:20:00,LINK-BTC,LINK,BTC,0.00015530,0.00015570,0.00015530,0.00015570,1214.78000000,0.00015574,0.00015592,0.00015557,0.00015592,73.01,coinbase,0.00000022,0.14
2025-08-08 00:21:00,LINK-BTC,LINK,BTC,0.00015580,0.00015630,0.00015580,0.00015620,326.61000000,0.00015589,0.00015633,0.00015585,0.00015633,65.21,coinbase,0.00000013,0.08
2025-08-08 00:22:00,LINK-BTC,LINK,BTC,0.00015620,0.00015620,0.00015540,0.00015580,3711.86000000,0.00015595,0.00015601,0.00015549,0.00015579,62.21,binance,0.00000001,0.01
2025-08-08 00:23:00,LINK-BTC,LINK,BTC,0.00015560,0.00015680,0.00015560,0.00015620,623.50000000,0.00015575,0.00015661,0.00015569,0.00015611,103.77,binance,0.00000009,0.06
2025-08-08 00:24:00,LINK-BTC,LINK,BTC,0.00015610,0.00015640,0.00015590,0.00015640,380.44000000,0.00015601,0.00015631,0.00015599,0.00015631,51.74,binance,0.00000009,0.06
2025-08-08 00:25:00,LINK-BTC,LINK,BTC,0.00015660,0.00015710,0.00015640,0.00015670,219.55000000,0.00015677,0.00015677,0.00015649,0.00015671,76.89,coinbase,0.00000001,0.01
2025-08-08 00:26:00,LINK-BTC,LINK,BTC,0.00015670,0.00015740,0.00015670,0.00015740,166.75000000,0.00015657,0.00015749,0.00015657,0.00015717,64.43,binance,0.00000023,0.15
2025-08-08 00:27:00,LINK-BTC,LINK,BTC,0.00015710,0.00015710,0.00015590,0.00015630,168.15000000,0.00015664,0.00015664,0.00015596,0.00015637,78.52,coinbase,0.00000007,0.04
2025-08-08 00:28:00,LINK-BTC,LINK,BTC,0.00015640,0.00015640,0.00015620,0.00015620,10.06000000,0.00015645,0.00015645,0.00015615,0.00015615,73.01,binance,0.00000005,0.03
2025-08-08 00:29:00,LINK-BTC,LINK,BTC,0.00015620,0.00015650,0.00015590,0.00015610,192.06000000,0.00015613,0.00015622,0.00015595,0.00015595,65.73,binance,0.00000015,0.10
2025-08-08 00:30:00,LINK-BTC,LINK,BTC,0.00015610,0.00015610,0.00015600,0.00015610,19.34000000,0.00015597,0.00015613,0.00015587,0.00015613,62.15,coinbase,0.00000003,0.02
2025-08-08 00:31:00,LINK-BTC,LINK,BTC,0.00015600,0.00015610,0.00015590,0.00015590,96.24000000,0.0001561,0.0001561,0.00015593,0.00015601,73.08,coinbase,0.00000011,0.07
2025-08-08 00:32:00,LINK-BTC,LINK,BTC,0.00015610,0.00015610,0.00015610,0.00015610,40.11000000,0.00015601,0.00015605,0.00015597,0.00015601,51.13,binance,0.00000009,0.06
2025-08-08 00:33:00,LINK-BTC,LINK,BTC,0.00015600,0.00015620,0.00015600,0.00015620,7.60000000,0.00015599,0.00015611,0.00015595,0.00015605,51.14,binance,0.00000015,0.10
